ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0238865;Frederik Du Chau;May 15 1965 ;Belgium ;/name/nm0238865/?ref_=tt_ov_dr;
nm0000110;Kenneth Branagh;December 10 1960 ;Belfast, Northern Ireland, UK ;/name/nm0000110/?ref_=tt_ov_dr;
nm0001005;Jane Campion;April 30 1954 ;Wellington, New Zealand ;/name/nm0001005/?ref_=tt_ov_dr;
nm0003418;Rob Cohen;March 12 1949 ;Cornwall, New York, USA ;/name/nm0003418/?ref_=tt_ov_dr;
nm0382956;Scott Hicks;March 4 1953 ;Uganda ;/name/nm0382956/?ref_=tt_ov_dr;
nm0625680;Ralph Nelson;August 12 1916 ;Long Island City, New York, USA ;/name/nm0625680/?ref_=tt_ov_dr;
nm0002045;Stanley Donen;April 13 1924 ;Columbia, South Carolina, USA ;/name/nm0002045/?ref_=tt_ov_dr;
nm0001175;Blake Edwards;July 26 1922 ;Tulsa, Oklahoma, USA ;/name/nm0001175/?ref_=tt_ov_dr;
nm0564970;Leo McCarey;October 3 1896 ;Los Angeles, California, USA ;/name/nm0564970/?ref_=tt_ov_dr;
nm0791084;Sidney Sheldon;February 11 1917 ;Chicago, Illinois, USA ;/name/nm0791084/?ref_=tt_ov_dr;
nm0001328;Howard Hawks;May 30 1896 ;Goshen, Indiana, USA ;/name/nm0001328/?ref_=tt_ov_dr;
nm0449984;Irvin Kershner;April 29 1923 ;Philadelphia, Pennsylvania, USA ;/name/nm0449984/?ref_=tt_ov_dr;
nm0353592;Piers Haggard;March 18 1939 ;London, England, UK ;/name/nm0353592/?ref_=tt_ov_dr;
nm0909026;Anthony Waller;October 24 1959 ;Lebanon ;/name/nm0909026/?ref_=tt_ov_dr;
nm0001752;Steven Soderbergh;January 14 1963 ;Atlanta, Georgia, USA ;/name/nm0001752/?ref_=tt_ov_dr;
nm0836430;Charles Sturridge;June 24 1951 ;London, England, UK ;/name/nm0836430/?ref_=tt_ov_dr;
nm0250489;Christine Edzard;February 15 1945 ;Paris, France ;/name/nm0250489/?ref_=tt_ov_dr;
nm0072025;Rodney Bennett;March 24 1935 ;;/name/nm0072025/?ref_=tt_ov_dr;
nm0000180;David Lean;March 25 1908 ;Croydon, Surrey, England, UK ;/name/nm0000180/?ref_=tt_ov_dr;
nm0549658;Richard Marquand;September 22 1937 ;Llanishen, Cardiff, Glamorgan, Wales, UK ;/name/nm0549658/?ref_=tt_ov_dr;
nm0108613;Marshall Brickman;August 25 1939 ;Rio de Janeiro, Brazil ;/name/nm0108613/?ref_=tt_ov_dr;
nm0938028;Digby Wolfe;June 4 1929 ;London, England, UK ;/name/nm0938028/?ref_=tt_ov_wr;
nm0491626;Georges Lautner;January 24 1926 ;Nice, Alpes-Maritimes, France ;/name/nm0491626/?ref_=tt_ov_dr;
nm0339516;William Grefé;May 17 1930 ;Miami, Florida, USA ;/name/nm0339516/?ref_=tt_ov_dr;
nm0856319;Duccio Tessari;October 11 1926 ;Genoa, Liguria, Italy ;/name/nm0856319/?ref_=tt_ov_dr;
nm0950109;Terence Young;June 20 1915 ;Shanghai, China ;/name/nm0950109/?ref_=tt_ov_dr;
nm0505610;Henry Levin;June 5 1909 ;Trenton, New Jersey, USA ;/name/nm0505610/?ref_=tt_ov_dr;
nm0447944;Burt Kennedy;September 3 1922 ;Muskegon, Michigan, USA ;/name/nm0447944/?ref_=tt_ov_dr;
nm0550892;George Marshall;December 29 1891 ;Chicago, Illinois, USA ;/name/nm0550892/?ref_=tt_ov_dr;
nm0644048;Clifford Odets;July 18 1906 ;Philadelphia, Pennsylvania, USA ;/name/nm0644048/?ref_=tt_ov_dr;
nm0663577;Robert Parrish;January 4 1916 ;Columbus, Georgia, USA ;/name/nm0663577/?ref_=tt_ov_dr;
nm0120223;Kirsten Bulmer;;;/name/nm0120223/?ref_=tt_ov_dr;
nm0522218;Eric Louzil;1951 ;;/name/nm0522218/?ref_=tt_ov_dr;
nm0812380;Frédéric Sojcher;May 11 1967 ;Brussels, Belgium ;/name/nm0812380/?ref_=tt_ov_dr;
nm0267740;Donald Farmer;May 2 1954 ;Pittsburg, Kansas, USA ;/name/nm0267740/?ref_=tt_ov_dr;
nm0676248;Fred Olen Ray;September 10 1954 ;Wellston, Ohio, USA ;/name/nm0676248/?ref_=tt_ov_dr;
nm0230286;James Dodson;;;/name/nm0230286/?ref_=tt_ov_dr;
nm0599515;Eduardo Montes-Bradley;1960 ;Cordoba, Argentina ;/name/nm0599515/?ref_=tt_ov_dr;
nm0325805;Jill Goldman;;;/name/nm0325805/?ref_=tt_ov_dr;
nm0496459;Paul Leder;March 25 1926 ;Springfield, Massachusetts, USA ;/name/nm0496459/?ref_=tt_ov_dr;
nm0001090;Joe D'Amato;December 15 1936 ;Rome, Lazio, Italy ;/name/nm0001090/?ref_=tt_ov_dr;
nm0347098;Jean-Louis Guillermou;1946 ;Paris, France ;/name/nm0347098/?ref_=tt_ov_dr;
nm0233617;Enzo Doria;March 12 1936 ;Genoa, Italy ;/name/nm0233617/?ref_=tt_ov_dr;
nm0183007;Carlo Cotti;May 24 1939 ;Milan, Lombardy, Italy ;/name/nm0183007/?ref_=tt_ov_dr;
nm0518192;José Antonio de la Loma;March 4 1924 ;Barcelona, Barcelona, Catalonia, Spain ;/name/nm0518192/?ref_=tt_ov_dr;
nm0002726;Roger Young;May 13 1942 ;Champaign, Illinois, USA ;/name/nm0002726/?ref_=tt_ov_dr;
nm0000953;Peter Bogdanovich;July 30 1939 ;Kingston, New York, USA ;/name/nm0000953/?ref_=tt_ov_dr;
nm0003593;Fred Zinnemann;April 29 1907 ;Rzeszów, Galicia, Austria-Hungary ;/name/nm0003593/?ref_=tt_ov_dr;
nm0082300;Tony Bill;August 23 1940 ;San Diego, California, USA ;/name/nm0082300/?ref_=tt_ov_dr;
nm0139111;Glenn Gordon Caron;c. 1954 ;;/name/nm0139111/?ref_=tt_ov_dr;
nm0367431;Anthony Harvey;June 3 1930 ;London, England, UK ;/name/nm0367431/?ref_=tt_ov_dr;
nm1044241;Andie Haas;;;/name/nm1044241/?ref_=tt_ov_dr;
nm0171619;Richard A. Colla;April 18 1936 ;USA ;/name/nm0171619/?ref_=tt_ov_dr;
nm0587706;Stuart Millar;April 25 1929 ;New York, New York, USA ;/name/nm0587706/?ref_=tt_ov_dr;
nm0724798;Tony Richardson;June 5 1928 ;Shipley, Bradford, West Yorkshire, England, UK ;/name/nm0724798/?ref_=tt_ov_dr;
nm0259763;Egidio Eronico;August 17 1955 ;Rome, Lazio, Italy ;/name/nm0259763/?ref_=tt_ov_dr;
nm0468549;William R. Kowalchuk Jr.;April 12 1943 ;Toronto, Ontario, Canada ;/name/nm0468549/?ref_=tt_ov_dr;
nm0504802;Sheldon Lettich;January 14 1951 ;;/name/nm0504802/?ref_=tt_ov_dr;
nm0000318;Tim Burton;August 25 1958 ;Burbank, California, USA ;/name/nm0000318/?ref_=tt_ov_dr;
nm0349183;Lawrence Guterman;;;/name/nm0349183/?ref_=tt_ov_dr;
nm0155093;Peter Chelsom;April 20 1956 ;Blackpool, Lancashire, England, UK ;/name/nm0155093/?ref_=tt_ov_dr;
nm0828562;Leslie Stevens;February 3 1924 ;Washington, District of Columbia, USA ;/name/nm0828562/?ref_=tt_ov_wr;
nm0000231;Oliver Stone;September 15 1946 ;New York City, New York, USA ;/name/nm0000231/?ref_=tt_ov_dr;
nm2283579;Patrick King;;;/name/nm2283579/?ref_=tt_ov_dr;
nm0393874;Claudia Hoover;;;/name/nm0393874/?ref_=tt_ov_dr;
nm0000881;Michael Bay;February 17 1965 ;Los Angeles, California, USA ;/name/nm0000881/?ref_=tt_ov_dr;
nm0172772;Peter Collinson;April 1 1936 ;Lincolnshire, England, UK ;/name/nm0172772/?ref_=tt_ov_dr;
nm0326360;James Goldstone;June 8 1931 ;Los Angeles, California, USA ;/name/nm0326360/?ref_=tt_ov_dr;
nm0281507;Richard Fleischer;December 8 1916 ;Brooklyn, New York City, New York, USA ;/name/nm0281507/?ref_=tt_ov_dr;
nm0181902;George P. Cosmatos;January 4 1941 ;Florence, Tuscany, Italy ;/name/nm0181902/?ref_=tt_ov_dr;
nm0852279;Don Taylor;December 13 1920 ;Freeport, Pennsylvania, USA ;/name/nm0852279/?ref_=tt_ov_dr;
nm0388198;Mike Hodges;July 29 1932 ;Bristol, England, UK ;/name/nm0388198/?ref_=tt_ov_dr;
nm0334353;William A. Graham;May 15 1926 ;New York City, New York, USA ;/name/nm0334353/?ref_=tt_ov_dr;
nm0000142;Clint Eastwood;31 mai 1930 ;San Francisco, Californie, États-Unis ;/name/nm0000142/?ref_=tt_ov_dr;
nm0125111;Robert Butler;November 16 1927 ;Hollywood, California, USA ;/name/nm0125111/?ref_=tt_ov_dr;
nm0542702;Daniel Mann;August 8 1912 ;Brooklyn, New York City, New York, USA ;/name/nm0542702/?ref_=tt_ov_dr;
nm0583292;Nicholas Meyer;December 24 1945 ;New York City, New York, USA ;/name/nm0583292/?ref_=tt_ov_dr;
nm0781036;John Sebert;;;/name/nm0781036/?ref_=tt_ov_dr;
nm0769334;Luigi Scattini;May 17 1927 ;Turin, Piedmont, Italy ;/name/nm0769334/?ref_=tt_ov_dr;
nm15284734;Darrel Bateman;;;/name/nm15284734/?ref_=tt_ov_dr;
nm0065716;Samuel Beckett;April 13 1906 ;Foxrock, County Dublin, Ireland, UK [now Republic of Ireland] ;/name/nm0065716/?ref_=tt_ov_dr;
nm0773693;Alan Schneider;December 12 1917 ;Kharkov [now Kharkiv], Ukraine ;/name/nm0773693/?ref_=tt_ov_dr;
nm0038906;William Asher;August 8 1921 ;Manhattan, New York City, New York, USA ;/name/nm0038906/?ref_=tt_ov_dr;
nm0693376;Gerald Potterton;March 8 1931 ;London, England, UK ;/name/nm0693376/?ref_=tt_ov_dr;
nm0000036;Buster Keaton;October 4 1895 ;Piqua, Kansas, USA ;/name/nm0000036/?ref_=tt_ov_dr;
nm0819501;John Spotton;August 8 1927 ;Toronto, Ontario, Canada ;/name/nm0819501/?ref_=tt_ov_dr;
nm0918659;Don Weis;May 13 1922 ;Milwaukee, Wisconsin, USA ;/name/nm0918659/?ref_=tt_ov_dr;
nm0129917;James Calhoun;;;/name/nm0129917/?ref_=tt_ov_dr;
nm0339254;Robert Greenwald;August 28 1945 ;New York City, New York, USA ;/name/nm0339254/?ref_=tt_ov_dr;
nm0235066;Gordon Douglas;December 15 1907 ;New York City, New York, USA ;/name/nm0235066/?ref_=tt_ov_dr;
nm0000037;Gene Kelly;August 23 1912 ;Pittsburgh, Pennsylvania, USA ;/name/nm0000037/?ref_=tt_ov_dr;
nm0218840;Jacques Demy;June 5 1931 ;Pontchâteau, Loire-Atlantique, France ;/name/nm0218840/?ref_=tt_ov_dr;
nm0496746;J. Lee Thompson;August 1 1914 ;Bristol, England, UK ;/name/nm0496746/?ref_=tt_ov_dr;
nm0710924;Irving Rapper;January 16 1898 ;London, England, UK ;/name/nm0710924/?ref_=tt_ov_dr;
nm0896533;Charles Vidor;July 27 1900 ;Budapest, Austria-Hungary [now Hungary] ;/name/nm0896533/?ref_=tt_ov_dr;
nm0554249;Andrew Marton;January 26 1904 ;Budapest, Austria-Hungary ;/name/nm0554249/?ref_=tt_ov_dr;
nm0548529;Fletcher Markle;March 27 1921 ;Winnipeg, Manitoba, Canada ;/name/nm0548529/?ref_=tt_ov_wr;
nm0398275;June Howson;July 12 1931 ;Keighley, Bradford, West Yorkshire, England, UK ;/name/nm0398275/?ref_=tt_ov_dr;
nm0573475;Mary McMurray;March 31 1949 ;Manchester, England, UK ;/name/nm0573475/?ref_=tt_ov_dr;
nm0936358;Herbert Wise;August 31 1924 ;Vienna, Austria ;/name/nm0936358/?ref_=tt_ov_dr;
nm0027413;Sarah Pia Anderson;;;/name/nm0027413/?ref_=tt_ov_wr;
nm0232902;Jack Donohue;November 3 1908 ;Brooklyn, New York, USA ;/name/nm0232902/?ref_=tt_ov_dr;
nm0494885;Philip Leacock;October 8 1917 ;London, England, UK ;/name/nm0494885/?ref_=tt_ov_dr;
nm0049728;Ferdinando Baldi;May 19 1917 ;Cava de' Tirreni, Campania, Italy ;/name/nm0049728/?ref_=tt_ov_dr;
nm0058826;Hall Bartlett;November 27 1922 ;Kansas City, Missouri, USA ;/name/nm0058826/?ref_=tt_ov_dr;
nm0164044;James B. Clark;May 14 1908 ;Stillwater, Minnesota, USA ;/name/nm0164044/?ref_=tt_ov_dr;
nm0916271;Robert D. Webb;January 8 1903 ;Clay City, Kentucky, USA ;/name/nm0916271/?ref_=tt_ov_dr;
nm0005789;Rudolph Maté;January 21 1898 ;Krakau, Galicia, Austria-Hungary [now Kraków, Malopolskie, Poland] ;/name/nm0005789/?ref_=tt_ov_dr;
nm0624535;Jean Negulesco;February 26 1900 ;Craiova, Dolj, Romania ;/name/nm0624535/?ref_=tt_ov_dr;
nm0878338;Frank Tuttle;August 6 1892 ;New York City, New York, USA ;/name/nm0878338/?ref_=tt_ov_dr;
nm0342489;Brad F. Grinter;May 18 1922 ;Illinois, USA ;/name/nm0342489/?ref_=tt_ov_dr;
nm0338137;Martin Green;;;/name/nm0338137/?ref_=tt_ov_dr;
nm0782804;Steve Sekely;February 25 1899 ;Budapest, Austria-Hungary [now Hungary] ;/name/nm0782804/?ref_=tt_ov_dr;
nm1023688;Sam Elkin;;;/name/nm1023688/?ref_=tt_ov_wr;
nm0751514;William D. Russell;April 30 1908 ;Indianapolis, Indiana, USA ;/name/nm0751514/?ref_=tt_ov_dr;
nm0624477;Alberto Negrin;January 2 1940 ;Casablanca, Morocco ;/name/nm0624477/?ref_=tt_ov_dr;
nm0004675;Phil Alden Robinson;March 1 1950 ;Long Beach, Long Island, New York, USA ;/name/nm0004675/?ref_=tt_ov_dr;
nm0677951;Daniel Petrie;November 26 1920 ;Glace Bay, Nova Scotia, Canada ;/name/nm0677951/?ref_=tt_ov_dr;
nm0598855;Giuliano Montaldo;February 22 1930 ;Genoa, Liguria, Italy ;/name/nm0598855/?ref_=tt_ov_dr;
nm0437596;Jeff Kanew;December 16 1944 ;New York City, New York, USA ;/name/nm0437596/?ref_=tt_ov_dr;
nm0680097;Lee Philips;January 10 1927 ;New York City, New York, USA ;/name/nm0680097/?ref_=tt_ov_dr;
nm0788991;Alan Sharp;January 12 1934 ;Alyth, Perth and Kinross, Scotland, UK ;/name/nm0788991/?ref_=tt_ov_dr;
nm0001603;Sam Peckinpah;February 21 1925 ;Fresno, California, USA ;/name/nm0001603/?ref_=tt_ov_dr;
nm0167195;Robert Clouse;March 6 1928 ;Denison, Iowa, USA ;/name/nm0167195/?ref_=tt_ov_dr;
nm0000045;Bruce Lee;November 27 1940 ;San Francisco, California, USA ;/name/nm0000045/?ref_=tt_ov_dr;
nm0516344;Wei Lo;1918 ;Jiangsu Province, China ;/name/nm0516344/?ref_=tt_ov_dr;
nm0156927;Chia-Hsiang Wu;August 3 1919 ;Anhui, China ;/name/nm0156927/?ref_=tt_ov_dr;
nm0091575;Paul Bogart;November 13 1919 ;Harlem, Manhattan, New York City, New York, USA ;/name/nm0091575/?ref_=tt_ov_dr;
nm0949418;Collier Young;August 19 1908 ;Asheville, North Carolina, USA ;/name/nm0949418/?ref_=tt_ov_wr;
nm0872077;George W. Trendle;July 4 1884 ;;/name/nm0872077/?ref_=tt_ov_wr;
nm0498306;Sun-Fung Lee;April 10 1909 ;Guangdong, China ;/name/nm0498306/?ref_=tt_ov_dr;
nm0628860;Wui Ng;December 3 1913 ;Guangzhou, China ;/name/nm0628860/?ref_=tt_ov_dr;
nm0704224;José Quintero;October 15 1924 ;Panama City, Panama ;/name/nm0704224/?ref_=tt_ov_dr;
nm0245213;Julien Duvivier;October 3 1896 ;Lille, Nord, France ;/name/nm0245213/?ref_=tt_ov_dr;
nm0664257;Gabriel Pascal;June 4 1894 ;Arad, Transilvania, Austria-Hungary [now Arad, Arad, Romania] ;/name/nm0664257/?ref_=tt_ov_dr;
nm0466099;Alexander Korda;September 16 1893 ;Pusztatúrpásztó, Austria-Hungary [now Hungary] ;/name/nm0466099/?ref_=tt_ov_dr;
nm0212704;Basil Dean;September 27 1888 ;Croydon, Surrey, England, UK ;/name/nm0212704/?ref_=tt_ov_dr;
nm0281808;Victor Fleming;February 23 1889 ;La Cañada, California, USA ;/name/nm0281808/?ref_=tt_ov_dr;
nm0939992;Sam Wood;July 10 1883 ;Philadelphia, Pennsylvania, USA ;/name/nm0939992/?ref_=tt_ov_dr;
nm0924065;Tim Whelan;November 2 1893 ;Cannelton, Indiana, USA ;/name/nm0924065/?ref_=tt_ov_dr;
nm0176699;Jack Conway;July 17 1887 ;Graceville, Minnesota, USA ;/name/nm0176699/?ref_=tt_ov_dr;
nm0198202;Ian Dalrymple;August 26 1903 ;Johannesburg, South Africa ;/name/nm0198202/?ref_=tt_ov_dr;
nm0767701;Victor Saville;September 25 1895 ;Birmingham, England, UK ;/name/nm0767701/?ref_=tt_ov_dr;
nm0690642;Edoardo Ponti;January 6 1973 ;Geneva, Geneva, Switzerland ;/name/nm0690642/?ref_=tt_ov_dr;
nm0801819;Vittorio Sindoni;1939 ;Capo d'Orlando, Messina, Sicily, Italy ;/name/nm0801819/?ref_=tt_ov_dr;
nm0551128;Rob Marshall;October 17 1960 ;Madison, Wisconsin, USA ;/name/nm0551128/?ref_=tt_ov_dr;
nm0921631;Lina Wertmüller;August 14 1928 ;Rome, Lazio, Italy ;/name/nm0921631/?ref_=tt_ov_dr;
nm0162013;Jerry Ciccoritti;August 5 1956 ;Toronto, Ontario, Canada ;/name/nm0162013/?ref_=tt_ov_dr;
nm0359894;Roger Hanin;October 20 1925 ;Algiers, Alger, France [now Algeria] ;/name/nm0359894/?ref_=tt_ov_dr;
nm0222043;Howard Deutch;September 14 1950 ;New York City, New York, USA ;/name/nm0222043/?ref_=tt_ov_dr;
nm0000265;Robert Altman;February 20 1925 ;Kansas City, Missouri, USA ;/name/nm0000265/?ref_=tt_ov_dr;
nm0728271;Dino Risi;December 23 1916 ;Milan, Lombardy, Italy ;/name/nm0728271/?ref_=tt_ov_dr;
nm0001471;Jerry Lewis;March 16 1926 ;Newark, New Jersey, USA ;/name/nm0001471/?ref_=tt_ov_dr;
nm0869664;Jacques Tourneur;November 12 1904 ;Paris, France ;/name/nm0869664/?ref_=tt_ov_dr;
nm0000339;Roger Corman;April 5 1926 ;Detroit, Michigan, USA ;/name/nm0000339/?ref_=tt_ov_dr;
nm0131968;Bob Camp;February 7 1956 ;Gregg County, Texas, USA ;/name/nm0131968/?ref_=tt_ov_wr;
nm1116793;Chuck Tately;;;/name/nm1116793/?ref_=tt_ov_wr;
nm0293989;Friz Freleng;August 21 1904 ;Kansas City, Missouri, USA ;/name/nm0293989/?ref_=tt_ov_dr;
nm0006916;Michael Ritchie;November 28 1938 ;Waukesha, Wisconsin, USA ;/name/nm0006916/?ref_=tt_ov_dr;
nm0191386;Shamus Culhane;November 12 1908 ;Ware, Massachusetts, USA ;/name/nm0191386/?ref_=tt_ov_dr;
nm0259838;Chester Erskine;November 29 1903 ;Hudson, New York, USA ;/name/nm0259838/?ref_=tt_ov_dr;
nm0191899;Irving Cummings;October 9 1888 ;New York City, New York, USA ;/name/nm0191899/?ref_=tt_ov_dr;
nm0370821;Richard Haydn;March 10 1905 ;Camberwell, London, England, UK ;/name/nm0370821/?ref_=tt_ov_dr;
nm0708034;Alexander Ramati;1920 ;Brzesc, Poleskie, Poland [now Brest, Belarus] ;/name/nm0708034/?ref_=tt_ov_dr;
nm0108707;Alan Bridges;September 28 1927 ;Liverpool, England, UK ;/name/nm0108707/?ref_=tt_ov_dr;
nm0512327;Michael Lindsay-Hogg;May 5 1940 ;New York City, New York, USA ;/name/nm0512327/?ref_=tt_ov_dr;
nm0831968;Jon Stone;April 13 1931 ;New Haven, Connecticut, USA ;/name/nm0831968/?ref_=tt_ov_dr;
nm0024888;Jean-François Amiguet;1950 ;Vevey, Switzerland ;/name/nm0024888/?ref_=tt_ov_dr;
nm0327398;Anne Gonthier;;;/name/nm0327398/?ref_=tt_ov_dr;
nm0198991;Mel Damski;July 21 1946 ;New York City, New York, USA ;/name/nm0198991/?ref_=tt_ov_dr;
nm2729675;George Roman;;;/name/nm2729675/?ref_=tt_ov_dr;
nm0557704;Quentin Masters;July 12 1946 ;New South Wales, Australia ;/name/nm0557704/?ref_=tt_ov_dr;
nm0131769;Douglas Camfield;May 8 1931 ;England, UK ;/name/nm0131769/?ref_=tt_ov_dr;
nm0357891;Guy Hamilton;September 16 1922 ;Paris, France ;/name/nm0357891/?ref_=tt_ov_dr;
nm0210701;Manoel de Oliveira;December 11 1908 ;Oporto, Portugal ;/name/nm0210701/?ref_=tt_ov_dr;
nm0749914;Raúl Ruiz;July 25 1941 ;Puerto Montt, Chile ;/name/nm0749914/?ref_=tt_ov_dr;
nm0000774;Michelangelo Antonioni;September 29 1912 ;Ferrara, Emilia-Romagna, Italy ;/name/nm0000774/?ref_=tt_ov_dr;
nm0000694;Wim Wenders;August 14 1945 ;Düsseldorf, Germany ;/name/nm0000694/?ref_=tt_ov_dr;
nm0264967;Roberto Faenza;February 21 1943 ;Turin, Piedmont, Italy ;/name/nm0264967/?ref_=tt_ov_dr;
nm0889513;Agnès Varda;May 30 1928 ;Ixelles, Belgium ;/name/nm0889513/?ref_=tt_ov_dr;
nm0523439;Nanni Loy;October 23 1925 ;Cagliari, Sardinia, Italy ;/name/nm0523439/?ref_=tt_ov_dr;
nm0088397;Bertrand Blier;March 14 1939 ;Boulogne-Billancourt, Seine [now Hauts-de-Seine], France ;/name/nm0088397/?ref_=tt_ov_dr;
nm0069833;María Luisa Bemberg;April 14 1922 ;Buenos Aires, Argentina ;/name/nm0069833/?ref_=tt_ov_dr;
nm0452319;Beeban Kidron;May 2 1961 ;North London, England, UK ;/name/nm0452319/?ref_=tt_ov_dr;
nm0150057;Christian de Chalonge;January 21 1937 ;Douai, Nord, France ;/name/nm0150057/?ref_=tt_ov_dr;
nm0000766;Theodoros Angelopoulos;April 27 1935 ;Athens, Greece ;/name/nm0000766/?ref_=tt_ov_dr;
nm0002180;Francesca Archibugi;May 16 1960 ;Rome, Lazio, Italy ;/name/nm0002180/?ref_=tt_ov_dr;
nm0868153;Giuseppe Tornatore;May 27 1956 ;Bagheria, Sicily, Italy ;/name/nm0868153/?ref_=tt_ov_dr;
nm6790237;Mardi Rustam;;;/name/nm6790237/?ref_=tt_ov_dr;
nm0728189;Leidulv Risan;;;/name/nm0728189/?ref_=tt_ov_dr;
nm0000464;Jim Jarmusch;January 22 1953 ;Akron, Ohio, USA ;/name/nm0000464/?ref_=tt_ov_dr;
nm0067999;A. Dean Bell;;;/name/nm0067999/?ref_=tt_ov_dr;
nm0320180;Robert Ginty;November 14 1948 ;New York City, New York, USA ;/name/nm0320180/?ref_=tt_ov_dr;
nm0418883;Kevin Jarre;August 6 1954 ;Detroit, Michigan, USA ;/name/nm0418883/?ref_=tt_ov_dr;
nm0000217;Martin Scorsese;November 17 1942 ;Queens, New York City, New York, USA ;/name/nm0000217/?ref_=tt_ov_dr;
nm1108056;Don Schroeder;;;/name/nm1108056/?ref_=tt_ov_dr;
nm0104096;Bob Bralver;January 15 1941 ;USA ;/name/nm0104096/?ref_=tt_ov_dr;
nm0441914;Lee H. Katzin;April 12 1935 ;Detroit, Michigan, USA ;/name/nm0441914/?ref_=tt_ov_dr;
nm0000059;Laurence Olivier;May 22 1907 ;Dorking, Surrey, England, UK ;/name/nm0000059/?ref_=tt_ov_dr;
nm0001928;Roy Ward Baker;December 19 1916 ;London, England, UK ;/name/nm0001928/?ref_=tt_ov_dr;
nm0000055;Alfred Newman;March 17 1900 ;New Haven, Connecticut, USA ;/name/nm0000055/?ref_=tt_ov_st;
nm0953123;Darryl F. Zanuck;September 5 1902 ;Wahoo, Nebraska, USA ;/name/nm0953123/?ref_=tt_ov_st;
nm0562845;Archie Mayo;January 29 1891 ;New York City, New York, USA ;/name/nm0562845/?ref_=tt_ov_dr;
nm0693281;H.C. Potter;November 13 1904 ;New York City, New York, USA ;/name/nm0693281/?ref_=tt_ov_dr;
nm1435800;James Honeyborne;;;/name/nm1435800/?ref_=tt_ov_dr;
nm0005124;John Lasseter;January 12 1957 ;Hollywood, Los Angeles, California, USA ;/name/nm0005124/?ref_=tt_ov_dr;
nm0768959;Dan Scanlon;June 21 1976 ;Michigan, USA ;/name/nm0768959/?ref_=tt_ov_dr;
nm2014649;Jordan Itkowitz;;;/name/nm2014649/?ref_=tt_ov_wr;
nm0710020;Joe Ranft;March 13 1960 ;Pasadena, California, USA ;/name/nm0710020/?ref_=tt_ov_dr;
nm0184729;Mark Cowen;June 28 1962 ;San Marino, California, USA ;/name/nm0184729/?ref_=tt_ov_dr;
nm0622553;James Naughton;December 6 1945 ;Middletown, Connecticut, USA ;/name/nm0622553/?ref_=tt_ov_dr;
nm0005222;Sam Mendes;August 1 1965 ;Reading, Berkshire, England, UK ;/name/nm0005222/?ref_=tt_ov_dr;
nm0437709;Marek Kanievska;March 9 1948 ;Chelsea, London, England, UK ;/name/nm0437709/?ref_=tt_ov_dr;
nm0001502;Luis Mandoki;1954 ;Mexico City, Distrito Federal, Mexico ;/name/nm0001502/?ref_=tt_ov_dr;
nm0000914;Robert Benton;September 29 1932 ;Waxahachie, Texas, USA ;/name/nm0000914/?ref_=tt_ov_dr;
nm0285302;Bryan Forbes;July 22 1926 ;Stratford, London, England, UK ;/name/nm0285302/?ref_=tt_ov_dr;
nm0796923;Don Siegel;October 26 1912 ;Chicago, Illinois, USA ;/name/nm0796923/?ref_=tt_ov_dr;
nm0402597;Peter R. Hunt;March 11 1925 ;London, England, UK ;/name/nm0402597/?ref_=tt_ov_dr;
nm0589228;Robert Ellis Miller;July 18 1927 ;New York City, New York, USA ;/name/nm0589228/?ref_=tt_ov_dr;
nm0141868;Peter Carter;December 8 1933 ;Hertfordshire, England, UK ;/name/nm0141868/?ref_=tt_ov_dr;
nm0859387;Ralph Thomas;August 10 1915 ;Hull, Yorkshire, England, UK ;/name/nm0859387/?ref_=tt_ov_dr;
nm0865709;Norman Tokar;November 25 1919 ;Newark, New Jersey, USA ;/name/nm0865709/?ref_=tt_ov_dr;
nm0601800;Robert Moore;August 7 1927 ;Detroit, Michigan, USA ;/name/nm0601800/?ref_=tt_ov_dr;
nm0235852;Kevin Dowling;;;/name/nm0235852/?ref_=tt_ov_dr;
nm0500609;Christopher Leitch;;;/name/nm0500609/?ref_=tt_ov_dr;
nm0170680;Marcus Cole;;;/name/nm0170680/?ref_=tt_ov_dr;
nm0001060;Chris Columbus;September 10 1958 ;Spangler, Pennsylvania, USA ;/name/nm0001060/?ref_=tt_ov_dr;
nm0869427;Robert Totten;February 5 1937 ;Los Angeles, California, USA ;/name/nm0869427/?ref_=tt_ov_dr;
nm0792450;George Sherman;July 14 1908 ;New York City, New York, USA ;/name/nm0792450/?ref_=tt_ov_dr;
nm0000078;John Wayne;26 mai 1907 ;Winterset, Iowa, États-Unis ;/name/nm0000078/?ref_=tt_ov_dr;
nm0418746;Derek Jarman;January 31 1942 ;London, England, UK ;/name/nm0418746/?ref_=tt_ov_dr;
nm0298279;Kim Fuller;;;/name/nm0298279/?ref_=tt_ov_wr;
nm0362058;Paul Hardcastle;December 10 1957 ;London, England, UK ;/name/nm0362058/?ref_=tt_ov_wr;
nm0461158;Robert Knights;August 19 1942 ;Chendu, China ;/name/nm0461158/?ref_=tt_ov_dr;
nm0002044;Roger Donaldson;November 15 1945 ;Ballarat, Australia ;/name/nm0002044/?ref_=tt_ov_dr;
nm0254559;Michael Elliott;June 26 1931 ;St George Hanover Square, London, England, UK ;/name/nm0254559/?ref_=tt_ov_dr;
